# ai-studio model manifest — SINGLE SOURCE OF TRUTH for "what the ai-studio scene needs".
# Read by: c3 (services.py STUDIO_MODELS loader) · gpu-mode.sh (preflight_studio_models) ·
# the c3 download modal.  Edit HERE only — every surface parses this file (no canary drift).
# Columns (TAB-separated): modality<TAB>label<TAB>root<TAB>rel_path<TAB>size_gb<TAB>installer
#   modality : director | image | video | audio   (director is the hard requirement; rest warn)
#   root     : weights (HF weights root, MODEL_DIR) | comfy (ComfyUI models tree, COMFYUI_MODELS_DIR)
#   rel_path : the canary file under <root> whose presence == the model is installed
#   installer: repo-relative download script (`bash <installer>`) that fetches it
# Roster note: the uncensored picks (Krea / Z-Image / Wan) get appended after the bake-off.
director	Director (Qwen3.5-4B uncensored)	weights	qwen3.5-4b-gguf/hauhaucs-uncensored-q4km/Qwen3.5-4B-Uncensored-HauhauCS-Aggressive-Q4_K_M.gguf	2.5	services/comfyui/download_director.sh
image	Ideogram-4 (design / logo / text)	comfy	diffusion_models/ideogram4_fp8_scaled.safetensors	9.0	services/comfyui/download_ideogram4.sh
video	LTX-2.3 (video + audio)	comfy	unet/ltx2.3/distilled-1.1/ltx-2.3-22b-distilled-1.1-Q8_0.gguf	22.8	services/comfyui/download_video_models.sh
video	Sulphur (uncensored video)	comfy	unet/sulphur-2/sulphur_dev-Q8_0.gguf	22.8	services/comfyui/download_video_models.sh
video	10Eros (uncensored video)	comfy	unet/10eros/10Eros_v1-Q8_0.gguf	22.8	services/comfyui/download_video_models.sh
audio	ACE-Step (music)	comfy	checkpoints/ace-step-1.5/all_in_one/ace_step_v1_3.5b.safetensors	7.7	services/comfyui/download_ace_step.sh
audio	Stable Audio (SFX)	comfy	checkpoints/stable-audio-open-1.0.safetensors	4.85	services/comfyui/download_stable_audio.sh
audio	Kokoro (narration)	comfy	tts/kokoro/kokoro-v1.0.onnx	0.3	services/comfyui/download_kokoro.sh
